Date,AdjClose
6/15/2001,16.987637
6/18/2001,16.865517
6/19/2001,16.936068
6/20/2001,16.974056
6/21/2001,16.919785
6/22/2001,17.172155
6/25/2001,17.041903
6/26/2001,17.329556
6/27/2001,17.204721
6/28/2001,17.272572
6/29/2001,17.313272
7/2/2001,17.495085
7/3/2001,17.530361
7/5/2001,17.511368
7/6/2001,17.638922
7/9/2001,17.948275
7/10/2001,18.184368
7/11/2001,18.65654
7/12/2001,18.65654
7/13/2001,18.490997
7/16/2001,18.765087
7/17/2001,18.976761
7/18/2001,18.881256
7/19/2001,18.660252
7/20/2001,18.578396
7/23/2001,18.499266
7/24/2001,18.578396
7/25/2001,19.099543
7/26/2001,19.372389
7/27/2001,19.227779
7/30/2001,19.399668
7/31/2001,19.377846
8/1/2001,19.508816
8/2/2001,19.497898
8/3/2001,19.159573
8/6/2001,19.304182
8/7/2001,19.265976
8/8/2001,19.058609
8/9/2001,19.290531
8/10/2001,19.60977
8/13/2001,19.677979
8/14/2001,19.781664
8/15/2001,19.694345
8/16/2001,20.242781
8/17/2001,20.395584
8/20/2001,20.649321
8/21/2001,20.403765
8/22/2001,20.641138
8/23/2001,20.993124
8/24/2001,21.009487
8/27/2001,20.965834
8/28/2001,20.461061
8/29/2001,20.196394
8/30/2001,20.351919
8/31/2001,20.231865
9/4/2001,20.605671
9/5/2001,20.703901
9/6/2001,20.600216
9/7/2001,20.286436
9/10/2001,20.245504
9/17/2001,20.341013
9/18/2001,20.245504
9/19/2001,20.341013
9/20/2001,19.866253
9/21/2001,18.280985
9/24/2001,18.95219
9/25/2001,19.372389
9/26/2001,19.407856
9/27/2001,19.754375
9/28/2001,19.860788
10/1/2001,19.751644
10/2/2001,19.994482
10/3/2001,19.9863
10/4/2001,19.42696
10/5/2001,19.833504
10/8/2001,19.713449
10/9/2001,19.792582
10/10/2001,20.010851
10/11/2001,19.806211
10/12/2001,19.62887
10/15/2001,19.402403
10/16/2001,19.353283
10/17/2001,19.147545
10/18/2001,19.284708
10/19/2001,19.682476
10/22/2001,19.874495
10/23/2001,19.613895
10/24/2001,19.586458
10/25/2001,19.830608
10/26/2001,20.121389
10/29/2001,19.559027
10/30/2001,20.354555
10/31/2001,20.23934
11/1/2001,20.842846
11/2/2001,20.848335
11/5/2001,21.103445
11/6/2001,21.396976
11/7/2001,21.427155
11/8/2001,21.040361
11/9/2001,21.207695
11/12/2001,21.196722
11/13/2001,21.358568
11/14/2001,21.46007
11/15/2001,21.476526
11/16/2001,21.599974
11/19/2001,21.583517
11/20/2001,21.534132
11/21/2001,21.369547
11/23/2001,21.52042
11/26/2001,21.43812
11/27/2001,21.155577
11/28/2001,20.848335
11/29/2001,21.243359
11/30/2001,21.248837
12/3/2001,20.930632
12/4/2001,20.94161
12/5/2001,21.040361
12/6/2001,20.766035
